SalePrice,Bedrooms,LotArea,LivingArea,GarageArea,Neighborhood
270000,4,11792,2283,632,Gilbert
377500,3,14892,1746,758,Gilbert
337500,3,12456,1718,786,NridgHt
462000,4,14257,2772,754,NridgHt
489900,2,14803,2084,1220,NridgHt
555000,2,15431,2402,672,NridgHt
256300,3,14230,1600,890,NridgHt
335000,3,11308,2184,836,NridgHt
451950,3,13478,2296,842,NridgHt
610000,2,13693,2674,762,NridgHt
417500,4,13693,2464,650,NridgHt
306000,3,11478,1704,772,NridgHt
360000,3,11578,1736,834,NridgHt
383000,2,14418,1950,706,NridgHt
296000,3,16870,1782,932,NridgHt
297000,3,16870,1782,932,NridgHt
460000,4,12539,2790,1150,NridgHt
255500,3,11146,1717,908,NridgHt
335000,3,10367,1743,927,NridgHt
379000,3,12151,2331,1003,NridgHt
300000,2,10872,1531,700,NridgHt
324000,3,13514,1808,850,NridgHt
259000,3,14122,1822,678,NridgHt
214000,3,10171,1535,532,NridgHt
250000,4,8899,2088,656,NridgHt
350000,4,8834,2224,738,NridgHt
280000,3,11362,1836,862,NridgHt
284000,3,10655,1629,880,NridgHt
316000,4,10574,2332,756,NridgHt
269500,3,12878,1760,583,NridgHt
615000,1,12720,2470,789,NridgHt
386250,3,13472,2392,968,NridgHt
445000,3,15274,2452,886,NridgHt
412500,3,13688,2668,726,NridgHt
290000,4,13262,2400,730,NridgHt
284000,3,10625,2046,871,NridgHt
284000,2,10845,1575,732,NridgHt
213000,2,6904,1358,484,NridgHt
196000,1,5381,1306,624,NridgHt
184500,1,5122,1306,624,NridgHt
212500,2,10307,1358,484,NridgHt
230000,2,5001,1314,626,NridgHt
500000,3,14300,2696,958,NridgHt
320000,3,13650,2250,756,NridgHt
382500,3,15262,2200,685,NridgHt
421250,4,16900,2649,746,NridgHt
370000,4,16451,2690,795,NridgHt
319900,2,7658,1752,576,NridgHt
248500,2,6472,1456,539,NridgHt
192000,2,12304,1367,484,NridgHt
205000,2,7132,1370,484,NridgHt
286500,3,16770,1712,701,NridgHt
274000,1,12677,1518,588,NridgHt
266000,2,8849,1684,564,NridgHt
234250,2,6240,1342,550,NridgHt
219500,2,6240,1342,550,NridgHt
254000,2,6240,1324,550,NridgHt
173000,2,3480,1405,478,NridgHt
173000,2,2268,1626,474,NridgHt
155000,2,2448,1626,474,NridgHt
174000,2,2628,1626,474,NridgHt
175500,2,2628,1626,474,NridgHt
154000,2,2448,1626,474,NridgHt
207000,2,8198,1358,484,NridgHt
184000,3,10928,1456,390,Gilbert
199500,3,18494,1324,430,Gilbert
167800,3,8918,1490,392,Gilbert
174000,3,11911,1560,400,Gilbert
182000,3,13300,1374,400,Gilbert
184500,3,13300,1374,400,Gilbert
188500,3,7795,1432,432,Gilbert
179000,3,9024,1515,393,Gilbert
210000,4,8068,2267,390,Gilbert
200000,4,8068,2267,390,Gilbert
193000,3,7415,1593,398,Gilbert
189000,3,9056,1313,400,Gilbert
170000,3,9434,1374,400,Gilbert
