County, State, FIPS Code, Total Pop, Median Income ($), No. of Housing Units, Median Home Value ($), No. of Owner Occupied Housing Units, No. of Owner Occ. Housing Units with Debt, No. of Owner Occ. Housing Units without Debt
Autauga County, Alabama, 01001, 55221, 51281, 22582, 141300, 15077, 9668, 5409
Baldwin County, Alabama, 01003, 195121, 50254, 106422, 169300, 52997, 31824, 21173
Barbour County, Alabama, 01005, 26932, 32964, 11810, 92200, 5864, 2691, 3173
Bibb County, Alabama, 01007, 22604, 38678, 8971, 102700, 5278, 2605, 2673
Blount County, Alabama, 01009, 57710, 45813, 23860, 119800, 16423, 8849, 7574
Bullock County, Alabama, 01011, 10678, 31938, 4465, 68600, 2609, 866, 1743
Butler County, Alabama, 01013, 20354, 32229, 9919, 78900, 5644, 2348, 3296
Calhoun County, Alabama, 01015, 116648, 41703, 53296, 105900, 31179, 16611, 14568
Chambers County, Alabama, 01017, 34079, 34177, 16936, 80800, 9318, 4847, 4471
Cherokee County, Alabama, 01019, 26008, 36296, 16242, 105100, 8761, 3978, 4783
Chilton County, Alabama, 01021, 43819, 41627, 19247, 100100, 12410, 6309, 6101
Choctaw County, Alabama, 01023, 13395, 33536, 7232, 61100, 4547, 1606, 2941
Clarke County, Alabama, 01025, 25070, 32011, 12600, 86900, 6372, 2448, 3924
Clay County, Alabama, 01027, 13537, 35327, 6738, 84100, 4029, 1847, 2182
Cleburne County, Alabama, 01029, 15002, 38056, 6692, 108000, 4470, 1968, 2502
Coffee County, Alabama, 01031, 50884, 46729, 22776, 142400, 12960, 7059, 5901
Colbert County, Alabama, 01033, 54444, 40576, 26068, 99400, 15833, 8463, 7370
Conecuh County, Alabama, 01035, 12865, 24900, 7070, 70100, 3992, 1005, 2987
Coosa County, Alabama, 01037, 11027, 31212, 6462, 78300, 3530, 1598, 1932
Covington County, Alabama, 01039, 37886, 36444, 18773, 93600, 11171, 5170, 6001
Crenshaw County, Alabama, 01041, 13938, 36022, 6703, 70600, 3787, 1645, 2142
Cullman County, Alabama, 01043, 80965, 38971, 37103, 115200, 23548, 13245, 10303
Dale County, Alabama, 01045, 49866, 45028, 22822, 101700, 11792, 6612, 5180
Dallas County, Alabama, 01047, 42154, 27306, 20243, 81500, 9658, 4746, 4912
DeKalb County, Alabama, 01049, 71068, 38192, 31058, 98500, 18322, 9083, 9239
Elmore County, Alabama, 01051, 80763, 53555, 33140, 147500, 21453, 14152, 7301
Escambia County, Alabama, 01053, 37935, 32330, 16435, 93800, 9774, 3788, 5986
Etowah County, Alabama, 01055, 103766, 39220, 47500, 100400, 28472, 14954, 13518
